station,valid,lon,lat,tmpc,drct,sknt
BKD,2011-02-01 00:20,-98.8910,32.7190,8.30,70.00,14.00
RKP,2011-02-01 00:21,-97.0464,28.0836,18.00,120.00,10.00
OZA,2011-02-01 00:22,-101.2030,30.7353,20.20,200.00,7.00
DYS,2011-02-01 00:22,-99.8550,32.4210,8.00,30.00,14.00
5C1,2011-02-01 00:22,-98.6946,29.7239,21.00,140.00,11.00
ARM,2011-02-01 00:22,-96.1544,29.2543,21.00,120.00,7.00
COM,2011-02-01 00:23,-99.4036,31.8411,10.40,50.00,20.00
LVJ,2011-02-01 00:23,-95.2400,29.5200,18.00,100.00,6.00
6R3,2011-02-01 00:23,-95.0080,30.3564,18.00,140.00,4.00
LBR,2011-02-01 00:24,-95.0636,33.5932,12.20,null,null
HRX,2011-02-01 00:24,-102.3264,34.8578,-4.70,30.00,21.00
F05,2011-02-01 00:24,-99.2837,34.2257,2.20,30.00,20.00
GLE,2011-02-01 00:24,-97.1969,33.6514,10.00,60.00,9.00
OSA,2011-02-01 00:25,-94.9614,33.0956,12.50,30.00,4.00
RPH,2011-02-01 00:25,-98.5550,33.1100,7.50,40.00,8.00
T82,2011-02-01 00:25,-98.9092,30.2432,19.50,140.00,3.00
SLR,2011-02-01 00:25,-95.6200,33.1600,12.60,50.00,4.00
BPC,2011-02-01 00:25,-101.0301,35.8893,-5.00,20.00,15.00
RWV,2011-02-01 00:25,-96.7041,30.5155,20.00,130.00,4.00
11R,2011-02-01 00:25,-96.3742,30.2189,22.00,140.00,11.00
CVB,2011-02-01 00:25,-98.8509,29.3419,21.90,140.00,14.00
SEP,2011-02-01 00:25,-98.1777,32.2153,8.00,30.00,9.00
GYI,2011-02-01 00:25,-96.6737,33.7141,10.00,30.00,6.00
CPT,2011-02-01 00:25,-97.4338,32.3537,14.00,40.00,12.00
GNC,2011-02-01 00:25,-102.6527,32.6753,5.40,50.00,20.00
DZB,2011-02-01 00:25,-98.3588,30.5271,20.20,null,null
LNC,2011-02-01 00:25,-96.7190,32.5792,12.80,40.00,6.00
E38,2011-02-01 00:25,-103.6840,30.3840,16.30,230.00,6.00
ORG,2011-02-01 00:25,-93.8036,30.0692,17.00,null,null
GOP,2011-02-01 00:25,-97.7970,31.4213,17.00,80.00,6.00
MWL,2011-02-01 00:25,-98.0602,32.7816,8.00,30.00,9.00
SOA,2011-02-01 00:25,-100.6486,30.5857,22.00,160.00,9.00
ERV,2011-02-01 00:25,-99.0855,29.9767,20.50,130.00,7.00
CWC,2011-02-01 00:25,-98.4904,33.8578,5.70,20.00,17.00
INJ,2011-02-01 00:25,-97.0972,32.0836,15.00,50.00,8.00
XBP,2011-02-01 00:25,-97.8284,33.1753,8.00,70.00,6.00
DUX,2011-02-01 00:25,-102.0130,35.8580,-6.80,20.00,12.00
AQO,2011-02-01 00:25,-98.6619,30.7836,21.00,null,null
LHB,2011-02-01 00:25,-96.6200,30.8700,20.50,90.00,4.00
JAS,2011-02-01 00:25,-94.0349,30.8857,18.80,null,null
DKR,2011-02-01 00:25,-95.4038,31.3070,17.00,90.00,4.00
BBD,2011-02-01 00:25,-99.3239,31.1793,20.00,150.00,10.00
JXI,2011-02-01 00:25,-94.9500,32.7000,15.00,100.00,5.00
BEA,2011-02-01 00:25,-97.7910,28.3619,20.30,130.00,9.00
MDD,2011-02-01 00:25,-102.1010,32.0365,19.40,40.00,21.00
0F2,2011-02-01 00:25,-97.7756,33.6017,9.00,20.00,6.00
GYB,2011-02-01 00:25,-96.9800,30.1700,21.20,150.00,7.00
ECU,2011-02-01 00:25,-100.1739,29.9469,21.00,120.00,6.00
LUD,2011-02-01 00:25,-97.5805,33.2542,7.50,50.00,6.00
