station,valid,lon,lat,tmpc
DFW,2017-12-07 00:10,-97.0380,32.8968,null
DHT,2017-12-07 00:10,-102.5473,36.0226,null
DKR,2017-12-07 00:10,-95.4038,31.3070,5.00
DRT,2017-12-07 00:10,-100.9272,29.3742,null
DTO,2017-12-07 00:10,-97.1989,33.2061,null
DWH,2017-12-07 00:10,-95.5562,30.0680,null
ELP,2017-12-07 00:10,-106.3758,31.8111,null
FST,2017-12-07 00:10,-102.9167,30.9119,null
FTW,2017-12-07 00:10,-97.3624,32.8198,null
GGG,2017-12-07 00:10,-94.7115,32.3840,null
GKY,2017-12-07 00:10,-97.0943,32.6639,null
GLS,2017-12-07 00:10,-94.8604,29.2653,null
GTU,2017-12-07 00:10,-97.6767,30.6808,null
GVT,2017-12-07 00:10,-96.0653,33.0678,12.00
HDO,2017-12-07 00:10,-99.1742,29.3594,null
HOU,2017-12-07 00:10,-95.2824,29.6375,null
HYI,2017-12-07 00:10,-97.8630,29.8927,null
IAH,2017-12-07 00:10,-95.3414,29.9844,null
ILE,2017-12-07 00:10,-97.6865,31.0858,null
INK,2017-12-07 00:10,-103.2000,31.7800,null
JCT,2017-12-07 00:10,-99.7664,30.5108,null
LBB,2017-12-07 00:10,-101.8228,33.6636,null
LBX,2017-12-07 00:10,-95.4621,29.1086,null
LFK,2017-12-07 00:10,-94.7500,31.2340,null
LRD,2017-12-07 00:10,-99.4615,27.5438,null
LVJ,2017-12-07 00:10,-95.2400,29.5200,null
MAF,2017-12-07 00:10,-102.2075,31.9466,null
MFE,2017-12-07 00:10,-98.2386,26.1758,null
MRF,2017-12-07 00:10,-104.0200,30.3700,2.00
MWL,2017-12-07 00:10,-98.0602,32.7816,null
OCH,2017-12-07 00:10,-94.7094,31.5778,null
ODO,2017-12-07 00:10,-102.3867,31.9206,null
PIL,2017-12-07 00:10,-97.3378,26.1597,null
PRX,2017-12-07 00:10,-95.4507,33.6366,null
PSX,2017-12-07 00:10,-96.2500,28.7300,null
PWG,2017-12-07 00:10,-97.3165,31.4849,null
RBD,2017-12-07 00:10,-96.8700,32.6800,null
RKP,2017-12-07 00:10,-97.0464,28.0836,null
SAT,2017-12-07 00:10,-98.4698,29.5337,null
SGR,2017-12-07 00:10,-95.6565,29.6223,null
SJT,2017-12-07 00:10,-100.4950,31.3517,null
SPS,2017-12-07 00:10,-98.4928,33.9786,null
SSF,2017-12-07 00:10,-98.4711,29.3370,null
TKI,2017-12-07 00:10,-96.5900,33.1800,null
TPL,2017-12-07 00:10,-97.4078,31.1525,null
TRL,2017-12-07 00:10,-96.2700,32.7100,null
TYR,2017-12-07 00:10,-95.4024,32.3541,null
UTS,2017-12-07 00:10,-95.5872,30.7469,null
VCT,2017-12-07 00:10,-96.9303,28.8614,null
0F2,2017-12-07 00:15,-97.7756,33.6017,7.78
11R,2017-12-07 00:15,-96.3742,30.2189,5.78
2F5,2017-12-07 00:15,-101.9018,32.7479,1.00
3T5,2017-12-07 00:15,-96.9500,29.9100,5.28
5C1,2017-12-07 00:15,-98.6946,29.7239,3.00
5T9,2017-12-07 00:15,-100.5135,28.8571,null
66R,2017-12-07 00:15,-96.5158,29.6411,null
6P9,2017-12-07 00:15,-98.5948,32.4317,7.72
6R3,2017-12-07 00:15,-95.0080,30.3564,4.78
ABI,2017-12-07 00:15,-99.6821,32.4106,null
ACT,2017-12-07 00:15,-97.2283,31.6180,null
AFW,2017-12-07 00:15,-97.3179,32.9716,null
ALI,2017-12-07 00:15,-98.0269,27.7409,null
AMA,2017-12-07 00:15,-101.7059,35.2194,null
APY,2017-12-07 00:15,-99.2489,26.9688,7.61
AQO,2017-12-07 00:15,-98.6619,30.7836,5.00
ARM,2017-12-07 00:15,-96.1544,29.2543,6.00
ASL,2017-12-07 00:15,-94.3078,32.5205,7.22
AUS,2017-12-07 00:15,-97.6699,30.1945,null
AXH,2017-12-07 00:15,-95.4769,29.5061,5.61
BAZ,2017-12-07 00:15,-98.0450,29.7090,null
BBF,2017-12-07 00:15,-96.0140,27.8330,12.00
BEA,2017-12-07 00:15,-97.7910,28.3619,null
BGD,2017-12-07 00:15,-101.3937,35.7009,null
BKD,2017-12-07 00:15,-98.8910,32.7190,9.50
BMQ,2017-12-07 00:15,-98.2386,30.7389,null
BMT,2017-12-07 00:15,-94.2151,30.0702,5.50
BPC,2017-12-07 00:15,-101.0301,35.8893,3.00
BPG,2017-12-07 00:15,-101.5216,32.2126,2.78
BPT,2017-12-07 00:15,-94.0200,29.9500,null
BQX,2017-12-07 00:15,-95.7244,28.4936,11.00
BRO,2017-12-07 00:15,-97.4231,25.9146,null
BWD,2017-12-07 00:15,-98.9565,31.7936,8.00
BYY,2017-12-07 00:15,-95.8634,28.9733,6.50
CDS,2017-12-07 00:15,-100.2881,34.4339,null
CFD,2017-12-07 00:15,-96.3314,30.7157,4.22
CLL,2017-12-07 00:15,-96.3639,30.5881,null
COM,2017-12-07 00:15,-99.4036,31.8411,7.11
COT,2017-12-07 00:15,-99.2183,28.4567,null
CPT,2017-12-07 00:15,-97.4338,32.3537,9.00
CRS,2017-12-07 00:15,-96.4000,32.0300,null
CVB,2017-12-07 00:15,-98.8509,29.3419,5.11
CWC,2017-12-07 00:15,-98.4904,33.8578,9.28
CXO,2017-12-07 00:15,-95.4145,30.3524,null
DAL,2017-12-07 00:15,-96.8518,32.8471,null
DFW,2017-12-07 00:15,-97.0380,32.8968,null
DHT,2017-12-07 00:15,-102.5473,36.0226,null
DRT,2017-12-07 00:15,-100.9272,29.3742,null
DTO,2017-12-07 00:15,-97.1989,33.2061,null
DUX,2017-12-07 00:15,-102.0130,35.8580,-0.78
DWH,2017-12-07 00:15,-95.5562,30.0680,null
DZB,2017-12-07 00:15,-98.3588,30.5271,4.28
E11,2017-12-07 00:15,-102.5295,32.3311,0.00
E38,2017-12-07 00:15,-103.6840,30.3840,0.50
EBG,2017-12-07 00:15,-98.1222,26.4417,8.78
EDC,2017-12-07 00:15,-97.5621,30.3925,4.00
ELA,2017-12-07 00:15,-96.3219,29.6006,6.50
